门架名称,状态,车辆编号,车型,轨迹编号,时间戳
门架13,正常,车000743,客车,1.0,1645853660.0
门架14,正常,车000743,客车,1.0,1645854163.0
门架15,正常,车000743,客车,1.0,1645854836.0
门架7,正常,车000744,客车,1.0,1645715823.0
门架8,正常,车000744,客车,1.0,1645716101.0
门架9,正常,车000744,客车,1.0,1645716104.0
门架10,正常,车000744,客车,1.0,1645716376.0
门架7,正常,车000745,客车,1.0,1645671381.0
门架8,正常,车000745,客车,1.0,1645672032.0
门架9,正常,车000745,客车,1.0,1645672367.0
门架10,正常,车000745,客车,1.0,1645674987.0
门架11,正常,车000746,货车,1.0,1645650260.0
门架7,正常,车000747,客车,1.0,1645515660.0
门架8,正常,车000747,客车,1.0,1645516416.0
门架9,正常,车000747,客车,1.0,1645517406.0
门架10,正常,车000747,客车,1.0,1645517465.0
门架11,正常,车000747,客车,1.0,1645517706.0
门架12,正常,车000747,客车,1.0,1645518131.0
门架13,正常,车000747,客车,1.0,1645518326.0
门架14,正常,车000747,客车,1.0,1645518613.0
门架15,正常,车000747,客车,1.0,1645519467.0
门架7,正常,车000748,货车,1.0,1645609295.0
门架8,正常,车000748,货车,1.0,1645610065.0
门架9,正常,车000748,货车,1.0,1645610495.0
门架10,正常,车000748,货车,1.0,1645610586.0
门架2,漏过,车000749,客车,1.0,1645506411.5
门架3,漏过,车000749,客车,1.0,1645507921.5
门架1,正常,车000749,客车,1.0,1645505245.0
门架3,正常,车000749,客车,1.0,1645507578.0
门架2,正常,车000749,客车,1.0,1645507578.0
门架4,正常,车000749,客车,1.0,1645508265.0
门架1,正常,车000750,客车,1.0,1645516740.0
门架2,正常,车000750,客车,1.0,1645518174.0
门架3,正常,车000750,客车,1.0,1645518241.0
门架4,正常,车000751,客车,1.0,1645523075.0
门架1,正常,车000752,客车,1.0,1645671116.0
门架2,正常,车000752,客车,1.0,1645673102.0
门架3,正常,车000752,客车,1.0,1645673182.0
门架6,漏过,车000753,客车,1.0,1645666707.5
门架11,漏过,车000753,客车,1.0,1645668185.5
门架12,漏过,车000753,客车,1.0,1645669205.5
门架13,漏过,车000753,客车,1.0,1645669205.5
门架14,漏过,车000753,客车,1.0,1645669205.5
门架5,正常,车000753,客车,1.0,1645666535.0
门架7,正常,车000753,客车,1.0,1645666880.0
门架8,正常,车000753,客车,1.0,1645667495.0
门架9,正常,车000753,客车,1.0,1645667825.0
门架10,正常,车000753,客车,1.0,1645667915.0
门架12,正常,车000753,客车,1.0,1645668456.0
门架13,正常,车000753,客车,1.0,1645668545.0
门架11,正常,车000753,客车,1.0,1645668634.0
门架15,正常,车000753,客车,1.0,1645669777.0
门架14,正常,车000753,客车,1.0,1645670410.0
门架7,正常,车000754,货车,1.0,1645572660.0
门架8,正常,车000754,货车,1.0,1645573345.0
门架9,正常,车000754,货车,1.0,1645573715.0
门架10,正常,车000754,货车,1.0,1645573800.0
门架7,正常,车000755,客车,1.0,1645765281.0
门架8,正常,车000755,客车,1.0,1645765935.0
门架9,正常,车000755,客车,1.0,1645767560.0
门架10,正常,车000755,客车,1.0,1645767650.0
门架11,正常,车000755,客车,1.0,1645767855.0
门架12,正常,车000755,客车,1.0,1645768215.0
门架13,正常,车000755,客车,1.0,1645768381.0
门架14,正常,车000755,客车,1.0,1645768766.0
门架15,正常,车000755,客车,1.0,1645769506.0
门架8,正常,车000756,客车,1.0,1645759752.0
门架9,正常,车000756,客车,1.0,1645760102.0
门架10,正常,车000756,客车,1.0,1645760181.0
门架11,正常,车000756,客车,1.0,1645760411.0
门架12,正常,车000756,客车,1.0,1645760781.0
门架3,正常,车000757,客车,1.0,1645527361.0
门架3,正常,车000757,客车,3.0,1645786761.0
门架6,漏过,车000758,客车,1.0,1645664193.5
门架5,正常,车000758,客车,1.0,1645663991.0
门架7,正常,车000758,客车,1.0,1645664396.0
门架8,正常,车000758,客车,1.0,1645665110.0
门架9,正常,车000758,客车,1.0,1645665465.0
门架10,正常,车000758,客车,1.0,1645665565.0
门架11,正常,车000759,客车,1.0,1645867950.0
门架4,正常,车000760,客车,1.0,1645497620.0
门架5,正常,车000760,客车,1.0,1645497911.0
门架6,正常,车000760,客车,1.0,1645498030.0
门架7,正常,车000760,客车,1.0,1645498231.0
门架8,正常,车000760,客车,1.0,1645498846.0
门架9,正常,车000760,客车,1.0,1645499174.0
门架10,正常,车000760,客车,1.0,1645499251.0
门架7,正常,车000761,客车,1.0,1645493420.0
门架8,正常,车000761,客车,1.0,1645494090.0
门架9,正常,车000761,客车,1.0,1645494416.0
门架10,正常,车000761,客车,1.0,1645494500.0
门架11,正常,车000761,客车,1.0,1645494690.0
门架12,正常,车000761,客车,1.0,1645495106.0
门架13,正常,车000761,客车,1.0,1645495131.0
门架14,正常,车000761,客车,1.0,1645495628.0
门架7,正常,车000761,客车,2.0,1645948485.0
门架8,正常,车000761,客车,2.0,1645949161.0
门架9,正常,车000761,客车,2.0,1645949506.0
门架10,正常,车000761,客车,2.0,1645949585.0
门架11,正常,车000761,客车,2.0,1645949766.0
门架12,正常,车000761,客车,2.0,1645950131.0
门架13,正常,车000761,客车,2.0,1645950372.0
门架14,正常,车000761,客车,2.0,1645950604.0
门架1,正常,车000762,客车,1.0,1645526536.0
门架2,正常,车000762,客车,1.0,1645528171.0
门架3,正常,车000762,客车,1.0,1645528236.0
门架7,正常,车000762,客车,2.0,1645602470.0
门架8,正常,车000762,客车,2.0,1645603100.0
门架9,正常,车000762,客车,2.0,1645603435.0
门架10,正常,车000762,客车,2.0,1645603511.0
门架6,正常,车000763,客车,1.0,1645770656.0
门架7,正常,车000763,客车,1.0,1645770855.0
门架8,正常,车000763,客车,1.0,1645771481.0
门架9,正常,车000763,客车,1.0,1645771795.0
门架10,正常,车000763,客车,1.0,1645771873.0
门架11,正常,车000763,客车,1.0,1645772096.0
门架12,正常,车000763,客车,1.0,1645772513.0
门架13,正常,车000763,客车,1.0,1645772574.0
门架14,正常,车000763,客车,1.0,1645772795.0
门架15,正常,车000763,客车,1.0,1645773846.0
门架4,正常,车000764,客车,1.0,1645923476.0
门架5,正常,车000764,客车,1.0,1645923759.0
门架6,正常,车000764,客车,1.0,1645923870.0
门架4,正常,车000765,客车,1.0,1645490945.0
门架7,正常,车000766,客车,1.0,1645486315.0
门架8,正常,车000766,客车,1.0,1645486976.0
门架9,正常,车000766,客车,1.0,1645487330.0
门架10,正常,车000766,客车,1.0,1645487420.0
门架4,正常,车000767,客车,1.0,1645866130.0
门架5,正常,车000767,客车,1.0,1645866518.0
门架6,正常,车000767,客车,1.0,1645866748.0
门架7,正常,车000768,客车,1.0,1645750860.0
门架6,漏过,车000769,客车,2.0,1645610627.0
门架4,正常,车000769,客车,2.0,1645610175.0
门架5,正常,车000769,客车,2.0,1645610468.0
门架7,正常,车000769,客车,2.0,1645610786.0
门架8,正常,车000769,客车,2.0,1645611471.0
门架9,正常,车000769,客车,2.0,1645611801.0
门架10,正常,车000769,客车,2.0,1645611875.0
门架11,正常,车000769,客车,2.0,1645612265.0
门架12,正常,车000769,客车,2.0,1645612434.0
门架13,正常,车000769,客车,2.0,1645612565.0
门架14,正常,车000769,客车,2.0,1645612962.0
门架15,正常,车000769,客车,2.0,1645613695.0
门架7,正常,车000770,客车,1.0,1645491411.0
门架8,正常,车000770,客车,1.0,1645492067.0
门架9,正常,车000770,客车,1.0,1645492411.0
门架10,正常,车000770,客车,1.0,1645492501.0
门架11,正常,车000770,客车,1.0,1645492732.0
门架7,正常,车000771,客车,1.0,1645797380.0
门架8,正常,车000771,客车,1.0,1645798094.0
门架9,正常,车000771,客车,1.0,1645798470.0
门架10,正常,车000771,客车,1.0,1645798565.0
门架11,正常,车000771,客车,1.0,1645798764.0
门架12,正常,车000771,客车,1.0,1645799195.0
门架13,正常,车000771,客车,1.0,1645799315.0
门架14,正常,车000771,客车,1.0,1645799635.0
门架15,正常,车000771,客车,1.0,1645800455.0
门架1,正常,车000772,客车,1.0,1645927975.0
门架2,正常,车000772,客车,1.0,1645929568.0
门架3,正常,车000772,客车,1.0,1645929625.0
门架4,正常,车000772,客车,1.0,1645930035.0
门架6,漏过,车000773,客车,1.0,1645622974.0
门架5,正常,车000773,客车,1.0,1645622834.0
门架7,正常,车000773,客车,1.0,1645623114.0
门架8,正常,车000773,客车,1.0,1645623665.0
门架9,正常,车000773,客车,1.0,1645623955.0
门架10,正常,车000773,客车,1.0,1645624035.0
门架11,正常,车000773,客车,1.0,1645624225.0
门架12,正常,车000773,客车,1.0,1645624535.0
门架13,正常,车000773,客车,1.0,1645624620.0
门架14,正常,车000773,客车,1.0,1645624921.0
门架15,正常,车000773,客车,1.0,1645625575.0
门架15,正常,车000774,客车,1.0,1645583852.0
门架4,正常,车000775,客车,1.0,1645486879.0
门架1,正常,车000775,客车,2.0,1645516581.0
门架2,正常,车000775,客车,2.0,1645522880.0
门架3,正常,车000775,客车,2.0,1645522884.0
门架4,正常,车000775,客车,2.0,1645523480.0
门架1,正常,车000775,客车,3.0,1645706183.0
门架2,正常,车000775,客车,3.0,1645707996.0
门架3,正常,车000775,客车,3.0,1645707999.0
门架4,正常,车000775,客车,3.0,1645708579.0
门架1,正常,车000775,客车,4.0,1645804882.0
门架2,正常,车000775,客车,4.0,1645806082.0
门架3,正常,车000775,客车,4.0,1645806412.0
门架4,正常,车000775,客车,4.0,1645806679.0
门架6,正常,车000776,货车,1.0,1645589625.0
门架7,正常,车000776,货车,1.0,1645589882.0
门架8,正常,车000776,货车,1.0,1645590715.0
门架9,正常,车000776,货车,1.0,1645591436.0
门架10,正常,车000776,货车,1.0,1645591540.0
门架11,正常,车000776,货车,1.0,1645591856.0
门架12,正常,车000776,货车,1.0,1645592256.0
门架13,正常,车000776,货车,1.0,1645592526.0
门架14,正常,车000776,货车,1.0,1645592856.0
门架15,正常,车000776,货车,1.0,1645593865.0
门架5,正常,车000777,客车,1.0,1645576080.0
门架6,正常,车000777,客车,1.0,1645576200.0
门架7,正常,车000777,客车,1.0,1645576380.0
门架8,正常,车000777,客车,1.0,1645576975.0
门架9,正常,车000777,客车,1.0,1645577286.0
门架10,正常,车000777,客车,1.0,1645577364.0
门架6,漏过,车000778,客车,1.0,1645689280.0
门架4,正常,车000778,客车,1.0,1645688805.0
门架5,正常,车000778,客车,1.0,1645689105.0
门架7,正常,车000778,客车,1.0,1645689455.0
门架8,正常,车000778,客车,1.0,1645690077.0
门架9,正常,车000778,客车,1.0,1645690399.0
门架10,正常,车000778,客车,1.0,1645690471.0
门架11,正常,车000778,客车,1.0,1645690650.0
门架12,正常,车000778,客车,1.0,1645691027.0
门架13,正常,车000778,客车,1.0,1645691102.0
门架14,正常,车000778,客车,1.0,1645691475.0
门架15,正常,车000778,客车,1.0,1645692240.0
门架7,正常,车000779,货车,1.0,1645860181.0
门架8,正常,车000779,货车,1.0,1645861061.0
门架9,正常,车000779,货车,1.0,1645861517.0
门架10,正常,车000779,货车,2.0,1645861957.0
门架5,正常,车000780,客车,1.0,1645509025.0
门架6,正常,车000780,客车,1.0,1645509170.0
门架14,正常,车000781,客车,1.0,1645571635.0
门架15,正常,车000781,客车,1.0,1645572351.0
门架4,正常,车000782,货车,1.0,1645529730.0
门架7,正常,车000782,货车,2.0,1645865685.0
门架8,正常,车000782,货车,2.0,1645866635.0
门架9,正常,车000782,货车,2.0,1645867230.0
门架10,正常,车000782,货车,2.0,1645867491.0
门架7,正常,车000783,客车,1.0,1645928462.0
门架8,正常,车000783,客车,1.0,1645929096.0
门架9,正常,车000783,客车,1.0,1645929435.0
门架10,正常,车000783,客车,1.0,1645929522.0
门架3,正常,车000784,客车,1.0,1645616837.0
门架4,正常,车000784,客车,1.0,1645617390.0
门架1,正常,车000785,客车,1.0,1645786973.0
门架2,正常,车000785,客车,1.0,1645790175.0
门架3,正常,车000785,客车,1.0,1645790180.0
门架4,正常,车000785,客车,1.0,1645790864.0
门架5,正常,车000785,客车,1.0,1645791431.0
门架4,正常,车000786,客车,1.0,1645845265.0
门架10,正常,车000787,客车,2.0,1645607966.0
门架11,正常,车000787,客车,2.0,1645608184.0
门架12,正常,车000787,客车,2.0,1645608697.0
门架7,正常,车000788,客车,1.0,1645696282.0
门架8,正常,车000788,客车,1.0,1645696906.0
门架9,正常,车000788,客车,1.0,1645697605.0
门架10,正常,车000788,客车,1.0,1645697610.0
门架7,正常,车000789,客车,1.0,1645581856.0
门架8,正常,车000789,客车,1.0,1645582856.0
门架9,正常,车000789,客车,1.0,1645584145.0
门架10,正常,车000789,客车,1.0,1645584262.0
门架4,正常,车000790,客车,1.0,1645968990.0
门架5,正常,车000790,客车,1.0,1645969295.0
门架6,正常,车000790,客车,1.0,1645969405.0
门架7,正常,车000790,客车,1.0,1645969575.0
门架8,正常,车000790,客车,1.0,1645970120.0
门架9,正常,车000790,客车,1.0,1645970415.0
门架10,正常,车000790,客车,1.0,1645970495.0
门架11,正常,车000790,客车,1.0,1645970660.0
门架12,正常,车000790,客车,1.0,1645971035.0
门架13,正常,车000790,客车,1.0,1645971076.0
门架14,正常,车000790,客车,1.0,1645971340.0
门架15,正常,车000790,客车,1.0,1645971955.0
门架11,正常,车000791,客车,1.0,1645599765.0
门架7,正常,车000792,客车,1.0,1645610405.0
门架8,正常,车000792,客车,1.0,1645611105.0
门架9,正常,车000792,客车,1.0,1645611486.0
门架10,正常,车000792,客车,1.0,1645611586.0
门架5,正常,车000793,客车,1.0,1645845893.0
门架6,正常,车000793,客车,1.0,1645846006.0
门架7,正常,车000793,客车,1.0,1645846176.0
门架8,正常,车000793,客车,1.0,1645846806.0
门架9,正常,车000793,客车,1.0,1645847921.0
门架10,正常,车000793,客车,1.0,1645847996.0
门架11,正常,车000793,客车,1.0,1645848166.0
门架12,正常,车000793,客车,1.0,1645848555.0
门架13,正常,车000793,客车,1.0,1645848575.0
门架14,正常,车000793,客车,1.0,1645848891.0
门架15,正常,车000793,客车,1.0,1645849666.0
门架14,正常,车000794,客车,1.0,1645955627.0
门架15,正常,车000794,客车,1.0,1645956495.0
门架7,正常,车000795,客车,1.0,1645483995.0
门架8,正常,车000795,客车,1.0,1645484595.0
门架9,正常,车000795,客车,1.0,1645484905.0
门架10,正常,车000795,客车,1.0,1645484985.0
门架11,正常,车000795,客车,1.0,1645485160.0
门架12,正常,车000795,客车,1.0,1645485495.0
门架13,正常,车000795,客车,1.0,1645485611.0
门架7,正常,车000795,客车,2.0,1645844936.0
门架8,正常,车000795,客车,2.0,1645845566.0
门架9,正常,车000795,客车,2.0,1645845896.0
门架10,正常,车000795,客车,2.0,1645845977.0
门架11,正常,车000795,客车,2.0,1645846173.0
门架12,正常,车000795,客车,2.0,1645846544.0
门架3,正常,车000796,客车,1.0,1645846581.0
门架4,正常,车000796,客车,1.0,1645847085.0
门架4,正常,车000797,客车,1.0,1645662684.0
门架7,正常,车000798,客车,1.0,1645954760.0
门架8,正常,车000798,客车,1.0,1645955436.0
门架9,正常,车000798,客车,1.0,1645955792.0
门架10,正常,车000798,客车,1.0,1645955882.0
门架11,正常,车000798,客车,1.0,1645956139.0
门架12,正常,车000798,客车,1.0,1645956512.0
门架7,正常,车000799,客车,1.0,1645919815.0
门架8,正常,车000799,客车,1.0,1645920335.0
门架9,正常,车000799,客车,1.0,1645920635.0
门架10,正常,车000799,客车,1.0,1645920705.0
门架4,正常,车000800,客车,1.0,1645930295.0
门架5,正常,车000800,客车,1.0,1645930590.0
门架6,正常,车000800,客车,1.0,1645930705.0
门架7,正常,车000800,客车,1.0,1645930918.0
门架8,正常,车000800,客车,1.0,1645931545.0
门架9,正常,车000800,客车,1.0,1645931865.0
门架10,正常,车000800,客车,1.0,1645931946.0
门架11,正常,车000800,客车,1.0,1645932127.0
门架12,正常,车000800,客车,1.0,1645932493.0
门架13,正常,车000800,客车,1.0,1645932575.0
门架14,正常,车000800,客车,1.0,1645933006.0
门架15,正常,车000800,客车,1.0,1645935356.0
门架7,正常,车000801,客车,1.0,1645501430.0
门架4,正常,车000802,客车,1.0,1645865110.0
门架5,正常,车000802,客车,1.0,1645865433.0
门架6,正常,车000802,客车,1.0,1645865564.0
门架7,正常,车000802,客车,1.0,1645865766.0
门架8,正常,车000802,客车,1.0,1645866488.0
门架9,正常,车000802,客车,1.0,1645866887.0
门架10,正常,车000802,客车,1.0,1645866924.0
门架11,正常,车000802,客车,1.0,1645867375.0
门架12,正常,车000802,客车,1.0,1645867836.0
门架13,正常,车000802,客车,1.0,1645867952.0
门架14,正常,车000802,客车,1.0,1645868288.0
门架15,正常,车000802,客车,1.0,1645868711.0
门架4,正常,车000803,客车,1.0,1645858976.0
门架5,正常,车000803,客车,1.0,1645859260.0
门架6,正常,车000803,客车,1.0,1645859401.0
门架7,正常,车000803,客车,1.0,1645859635.0
门架8,正常,车000803,客车,1.0,1645860362.0
门架9,正常,车000803,客车,1.0,1645860744.0
门架10,正常,车000803,客车,1.0,1645860841.0
门架1,正常,车000804,客车,1.0,1645964787.0
门架2,正常,车000804,客车,1.0,1645967483.0
门架3,正常,车000804,客车,1.0,1645967909.0
门架7,正常,车000805,客车,1.0,1645945752.0
门架8,正常,车000805,客车,1.0,1645946371.0
门架9,正常,车000805,客车,1.0,1645946926.0
门架10,正常,车000805,客车,1.0,1645947010.0
门架11,正常,车000805,客车,1.0,1645947201.0
门架5,正常,车000806,客车,1.0,1645790670.0
门架6,正常,车000806,客车,1.0,1645790785.0
门架7,正常,车000806,客车,1.0,1645790974.0
门架8,正常,车000806,客车,1.0,1645791564.0
门架9,正常,车000806,客车,1.0,1645791889.0
门架10,正常,车000806,客车,1.0,1645791975.0
门架11,正常,车000806,客车,1.0,1645792145.0
门架12,正常,车000806,客车,1.0,1645792487.0
门架11,正常,车000807,客车,1.0,1645687665.0
门架12,正常,车000807,客车,1.0,1645688096.0
门架13,正常,车000807,客车,1.0,1645688140.0
门架14,正常,车000807,客车,1.0,1645688557.0
门架15,正常,车000807,客车,1.0,1645689283.0
门架7,正常,车000808,客车,1.0,1645924281.0
门架9,正常,车000809,客车,1.0,1645949953.0
门架10,正常,车000809,客车,1.0,1645950040.0
门架4,正常,车000810,客车,1.0,1645485990.0
门架4,正常,车000810,客车,2.0,1645572215.0
门架4,正常,车000810,客车,3.0,1645658790.0
门架4,正常,车000810,客车,4.0,1645745285.0
门架4,正常,车000810,客车,5.0,1645832154.0
门架6,漏过,车000811,货车,1.0,1645657927.5
门架4,正常,车000811,货车,1.0,1645657355.0
门架5,正常,车000811,货车,1.0,1645657725.0
门架7,正常,车000811,货车,1.0,1645658130.0
门架8,正常,车000811,货车,1.0,1645658950.0
门架9,正常,车000811,货车,1.0,1645659426.0
门架10,正常,车000811,货车,1.0,1645659545.0
门架11,正常,车000811,货车,1.0,1645659882.0
门架1,正常,车000812,客车,1.0,1645513085.0
门架2,正常,车000812,客车,1.0,1645514613.0
门架7,正常,车000813,客车,1.0,1645688510.0
门架8,正常,车000813,客车,1.0,1645689236.0
门架9,正常,车000813,客车,1.0,1645689627.0
门架4,正常,车000813,客车,2.0,1645847626.0
门架5,正常,车000813,客车,2.0,1645847952.0
门架6,正常,车000813,客车,2.0,1645848080.0
门架8,正常,车000813,客车,3.0,1645849860.0
门架9,正常,车000813,客车,3.0,1645850226.0
门架10,正常,车000813,客车,3.0,1645850311.0
门架11,正常,车000813,客车,3.0,1645850535.0
门架12,漏过,车000814,客车,1.0,1645861022.5
门架7,正常,车000814,客车,1.0,1645859431.0
门架8,正常,车000814,客车,1.0,1645860116.0
门架9,正常,车000814,客车,1.0,1645860452.0
门架10,正常,车000814,客车,1.0,1645860530.0
门架11,正常,车000814,客车,1.0,1645860856.0
门架13,正常,车000814,客车,1.0,1645861189.0
门架14,正常,车000814,客车,1.0,1645861567.0
门架15,正常,车000814,客车,1.0,1645863114.0
门架15,正常,车000815,客车,1.0,1645534315.0
门架1,正常,车000816,客车,1.0,1645681210.0
门架2,正常,车000816,客车,1.0,1645684891.0
门架3,正常,车000816,客车,1.0,1645684981.0
门架10,正常,车000817,客车,2.0,1645509611.0
门架6,正常,车000818,货车,1.0,1645494164.0
门架7,正常,车000818,货车,1.0,1645494420.0
门架8,正常,车000818,货车,1.0,1645495270.0
门架9,正常,车000818,货车,1.0,1645495722.0
门架10,正常,车000818,货车,1.0,1645495782.0
门架11,正常,车000818,货车,1.0,1645496111.0
门架12,正常,车000818,货车,1.0,1645496507.0
门架13,正常,车000818,货车,1.0,1645496614.0
门架14,正常,车000818,货车,1.0,1645497121.0
门架15,正常,车000818,货车,1.0,1645498014.0
门架4,正常,车000818,货车,2.0,1645958376.0
门架4,正常,车000819,客车,1.0,1645629020.0
门架5,正常,车000820,客车,1.0,1645795883.0
门架6,正常,车000820,客车,1.0,1645796179.0
门架7,正常,车000820,客车,1.0,1645796528.0
门架8,正常,车000820,客车,1.0,1645797489.0
门架9,正常,车000820,客车,1.0,1645799497.0
门架10,正常,车000820,客车,1.0,1645799499.0
门架11,正常,车000820,客车,1.0,1645799780.0
门架12,正常,车000820,客车,1.0,1645800376.0
门架13,正常,车000820,客车,1.0,1645800379.0
门架14,正常,车000820,客车,1.0,1645800980.0
门架15,正常,车000820,客车,1.0,1645801993.0
门架3,正常,车000821,客车,1.0,1645948863.0
门架4,正常,车000821,客车,1.0,1645949351.0
门架1,正常,车000822,客车,1.0,1645612586.0
门架2,正常,车000822,客车,1.0,1645614302.0
门架3,正常,车000822,客车,1.0,1645614377.0
门架3,正常,车000823,客车,1.0,1645774275.0
门架6,漏过,车000824,客车,1.0,1645701397.5
门架5,正常,车000824,客车,1.0,1645701210.0
门架7,正常,车000824,客车,1.0,1645701585.0
门架8,正常,车000824,客车,1.0,1645702305.0
门架9,正常,车000824,客车,1.0,1645702669.0
门架11,正常,车000825,客车,1.0,1645761657.0
门架6,漏过,车000826,客车,2.0,1645705652.0
门架4,正常,车000826,客车,2.0,1645705195.0
门架5,正常,车000826,客车,2.0,1645705485.0
门架7,正常,车000826,客车,2.0,1645705819.0
门架8,正常,车000826,客车,2.0,1645706450.0
门架9,正常,车000826,客车,2.0,1645706761.0
门架10,正常,车000826,客车,2.0,1645706835.0
门架11,正常,车000826,客车,2.0,1645707075.0
门架12,正常,车000826,客车,2.0,1645707481.0
门架13,正常,车000826,客车,2.0,1645707481.0
门架14,正常,车000826,客车,2.0,1645707766.0
门架15,正常,车000826,客车,2.0,1645708472.0
门架7,正常,车000828,客车,1.0,1645840928.0
门架8,正常,车000828,客车,1.0,1645841510.0
门架9,正常,车000828,客车,1.0,1645841836.0
门架10,正常,车000828,客车,1.0,1645841912.0
门架11,正常,车000828,客车,1.0,1645842104.0
门架4,正常,车000829,客车,1.0,1645787726.0
门架5,正常,车000829,客车,1.0,1645788020.0
门架6,正常,车000829,客车,1.0,1645788146.0
门架7,正常,车000829,客车,1.0,1645788341.0
门架8,正常,车000829,客车,1.0,1645789019.0
门架9,正常,车000829,客车,1.0,1645789365.0
门架10,正常,车000829,客车,1.0,1645789455.0
门架11,正常,车000829,客车,1.0,1645789675.0
门架12,正常,车000829,客车,2.0,1645790596.0
门架4,正常,车000830,客车,1.0,1645490552.0
门架5,正常,车000830,客车,1.0,1645490835.0
门架6,正常,车000830,客车,1.0,1645490961.0
门架7,正常,车000830,客车,1.0,1645491155.0
门架8,正常,车000830,客车,1.0,1645491766.0
门架9,正常,车000830,客车,1.0,1645492105.0
门架10,正常,车000830,客车,1.0,1645492185.0
门架11,正常,车000830,客车,1.0,1645492386.0
门架3,正常,车000830,客车,2.0,1645777981.0
门架4,正常,车000830,客车,2.0,1645778425.0
门架5,正常,车000830,客车,2.0,1645778719.0
门架6,正常,车000830,客车,2.0,1645778837.0
门架7,正常,车000830,客车,2.0,1645779028.0
门架8,正常,车000830,客车,2.0,1645779665.0
门架9,正常,车000830,客车,2.0,1645780004.0
门架10,正常,车000830,客车,2.0,1645780091.0
门架11,正常,车000830,客车,2.0,1645780297.0
门架3,正常,车000830,客车,3.0,1645942720.0
门架4,正常,车000830,客车,3.0,1645943180.0
门架5,正常,车000830,客车,3.0,1645943511.0
门架6,正常,车000830,客车,3.0,1645943645.0
门架7,正常,车000830,客车,3.0,1645944541.0
门架8,正常,车000830,客车,3.0,1645945214.0
门架9,正常,车000830,客车,3.0,1645945596.0
门架10,正常,车000830,客车,3.0,1645945701.0
门架11,正常,车000830,客车,3.0,1645945926.0
门架7,正常,车000831,货车,1.0,1645515965.0
门架8,正常,车000831,货车,1.0,1645516721.0
门架9,正常,车000831,货车,1.0,1645517198.0
门架10,正常,车000831,货车,1.0,1645517285.0
门架7,正常,车000831,货车,2.0,1645585016.0
门架8,正常,车000831,货车,2.0,1645585835.0
门架9,正常,车000831,货车,2.0,1645586245.0
门架10,正常,车000831,货车,2.0,1645586345.0
门架11,正常,车000831,货车,2.0,1645586576.0
门架12,正常,车000831,货车,2.0,1645587146.0
门架7,正常,车000831,货车,3.0,1645775266.0
门架8,正常,车000831,货车,3.0,1645776018.0
门架9,正常,车000831,货车,3.0,1645776422.0
门架10,正常,车000831,货车,3.0,1645776516.0
门架7,正常,车000832,客车,1.0,1645668407.0
门架8,正常,车000832,客车,1.0,1645669001.0
门架9,正常,车000832,客车,1.0,1645669335.0
门架10,正常,车000832,客车,1.0,1645669421.0
门架11,正常,车000832,客车,1.0,1645669600.0
门架12,正常,车000832,客车,1.0,1645669936.0
门架13,正常,车000832,客车,1.0,1645670144.0
门架4,正常,车000833,客车,1.0,1645869006.0
门架5,正常,车000834,客车,1.0,1645834730.0
门架6,正常,车000834,客车,1.0,1645834882.0
门架7,正常,车000834,客车,1.0,1645835115.0
门架8,正常,车000834,客车,1.0,1645835792.0
门架9,正常,车000834,客车,1.0,1645836130.0
门架10,正常,车000834,客车,1.0,1645836212.0
门架11,正常,车000834,客车,1.0,1645836430.0
门架12,正常,车000834,客车,1.0,1645836931.0
门架13,正常,车000834,客车,1.0,1645836962.0
门架14,正常,车000834,客车,1.0,1645837267.0
门架15,正常,车000834,客车,1.0,1645838196.0
门架11,正常,车000835,客车,2.0,1645862857.0
门架9,正常,车000836,客车,1.0,1645488185.0
门架10,正常,车000836,客车,1.0,1645488270.0
门架11,正常,车000836,客车,1.0,1645488455.0
门架12,正常,车000836,客车,1.0,1645488843.0
门架13,正常,车000836,客车,1.0,1645488915.0
门架14,正常,车000836,客车,2.0,1645489605.0
门架15,正常,车000836,客车,2.0,1645490301.0
门架1,正常,车000836,客车,3.0,1645790471.0
门架2,正常,车000836,客车,3.0,1645792075.0
门架3,正常,车000836,客车,3.0,1645792150.0
门架4,正常,车000836,客车,3.0,1645792590.0
门架5,正常,车000836,客车,3.0,1645792887.0
门架6,正常,车000836,客车,3.0,1645793005.0
门架6,正常,车000837,货车,1.0,1645768765.0
门架8,正常,车000838,客车,1.0,1645866697.0
门架9,正常,车000838,客车,1.0,1645867067.0
门架10,正常,车000838,客车,1.0,1645867172.0
门架11,正常,车000838,客车,1.0,1645867421.0
门架12,正常,车000838,客车,2.0,1645921495.0
门架13,正常,车000838,客车,2.0,1645921610.0
门架4,正常,车000839,客车,1.0,1645803019.0
门架5,正常,车000839,客车,1.0,1645803360.0
门架10,正常,车000840,客车,1.0,1645514776.0
门架11,正常,车000840,客车,1.0,1645515066.0
门架12,正常,车000840,客车,1.0,1645515542.0
门架13,正常,车000840,客车,1.0,1645515581.0
门架14,正常,车000842,客车,1.0,1645851206.0
门架15,正常,车000842,客车,1.0,1645851845.0
门架7,正常,车000843,客车,1.0,1645793750.0
门架8,正常,车000843,客车,1.0,1645794510.0
门架9,正常,车000843,客车,1.0,1645794940.0
门架10,正常,车000843,客车,1.0,1645795060.0
门架7,正常,车000844,客车,1.0,1645782776.0
门架8,正常,车000844,客车,1.0,1645783531.0
门架9,正常,车000844,客车,1.0,1645785245.0
